text,comments,shares,reaction_count,like,love,haha,wow,sad,angry,date,day,posting_time
'Haaland not winning would be the biggest robbery ever!' 🤬,1959.0,314,8573,4395,873,3221,8,24,10,2023-10-30,Monday,16
Pep Guardiola is Bernardo Silva's biggest fan 🙌,395.0,110,24791,19991,4472,48,27,0,1,2023-10-30,Monday,13
"""Fernandes is not captain material!"" 😯

GOAL.COM
Bruno Fernandes should be stripped of Manchester United captaincy, says club legend",423.0,25,4156,3479,41,610,8,4,8,2023-10-30,Monday,12
Pep Guardiola or Darth Vader? 👀,66.0,39,6337,4949,701,639,9,3,3,2023-10-30,Monday,10
"Erling Haaland always has fun against Manchester United 😂

GOAL.COM
Erling Haaland jokes about Manchester United fans' chant about him after derby win",57.0,3,1629,1446,32,144,2,0,1,2023-10-30,Monday,8
This weekend brought to you by Borussia Dortmund 🔥,171.0,143,32275,25943,5899,99,23,7,2,2023-10-30,Monday,6
"Lionel Messi wasn't happy to see this 😅

GOAL.COM
WATCH: Lionel Messi stares down fan with Cristiano Ronaldo shirt while watching son Thiago",302.0,23,4332,3535,52,728,7,4,3,2023-10-30,Monday,5
"Federico Chiesa could be set for a £60 million January move to the Premier League 🔜

CalcioMercato reports Juventus wouldn’t hesitate to sell the winger if they got an offer of €60m 🤑

Tottenham and Newcastle are both reported to be interested in him, and both clubs could afford the fee with little trouble 💰

Chiesa has had an injury-hit few years since rising to stardom for Italy at Euro 2020, and his Juventus contract runs until 2025 🤕",256.0,29,9235,8337,800,22,23,12,6,2023-10-30,Monday,4
"Erik ten Hag lost his cool at this journalist 🤬

GOAL.COM
Erik ten Hag gets angry with journalist after being quizzed on team selection v Man City",162.0,8,2244,1859,19,349,2,3,10,2023-10-30,Monday,3
"Manchester is blue!

And it's going to be blue for a long, long time 🔵

GOAL.COM
Manchester is blue - and that won't be changing anytime soon!",71.0,8,1980,1778,159,30,0,4,1,2023-10-30,Monday,2
"Liverpool fans go head-to-head in football tic tac toe... there can only be one winner ⚔️

TNT Sports is the exclusive home of the UEFA Champions League, UEFA Europa League, and UEFA Europa Conference League 📺

Watch TNT Sports on discovery+ this season. Click the link to sign up: https://bit.ly/45WYtR8

This isn’t Just Sport, This is Everything 🙌

#football #liverpool #lfc #premierleague #soccer",2.0,5,838,810,25,2,0,0,0,2023-10-30,Monday,2
Erik ten Hag sees the positives 😶,6422.0,1276,30760,14183,235,15719,142,127,313,2023-10-30,Monday,2
"Erling Haaland is the scariest thing in Manchester this Halloween 😱

#football #premierleague #mancity #haaland #halloween #soccer",28.0,8,1439,1246,167,18,1,0,0,2023-10-30,Monday,1
"Marcus Rashford went missing again for Manchester United 😣

GOAL.COM
Marcus Rashford goes missing again! Manchester United player ratings in humbling derby defeat",739.0,42,7197,5358,49,1671,13,68,29,2023-10-30,Monday,0
No contest.,836.0,382,14930,11761,1708,1268,21,60,31,2023-10-30,Monday,0
Erling Haaland can LEAP ✈️,565.0,218,27095,22070,4562,154,64,2,10,2023-10-29,Sunday,23
"Kylian Mbappe hit back at his critics on Twitter after the game ✍️

GOAL.COM
Kylian Mbappe hits back after criticism following two-goal performance for PSG",9.0,5,1836,1694,127,7,1,0,0,2023-10-29,Sunday,23
The King of Manchester 👑,770.0,202,22613,17769,3698,855,18,16,60,2023-10-29,Sunday,23
"Football connect four: taking footy tic tac toe to the next level 📈

#football #premierleague #soccer #quiz #challenge #championsleague #laliga #epl",0.0,1,646,602,44,0,0,0,0,2023-10-29,Sunday,22
Ajax are BOTTOM of the Eredivisie after being thrashed 5-2 by rivals PSV 😳,407.0,88,11421,8875,128,1989,196,205,11,2023-10-29,Sunday,22
"Manchester United's tribute video to the late Sir Bobby Charlton is beautiful 🕊

GOAL.COM
WATCH: Man Utd release goosebump-inducing tribute to Sir Bobby Charlton ahead of Manchester derby | Goal.com UK",4.0,5,1097,997,92,1,1,2,0,2023-10-29,Sunday,22
Diogo Jota dedicated his goal to Luis Diaz after his parents were kidnapped in Colombia 🙏,63.0,47,8202,6251,1107,6,13,680,6,2023-10-29,Sunday,21
"The Ballon d'Or might be closer than you think 👀

GOAL.COM
Ballon d'Or organisers tease 'very, very tight' finish between Lionel Messi & Erling Haaland",698.0,21,7143,6320,671,108,9,4,1,2023-10-29,Sunday,21
"Pep Guardiola changed John Stones' life 🙏

#football #premierleague #mancity #guardiola #mcfc #soccer",11.0,16,1158,989,156,3,0,1,0,2023-10-29,Sunday,20
"Manchester United and Chelsea have been offered Toni Kroos, according to the Daily Star 🇩🇪

His contract is up at the end of the season but Real Madrid could be ready to let him leave on a cut-price deal in January 👋",1174.0,186,25103,21152,3031,401,94,240,23,2023-10-29,Sunday,20
"It used to be a debate, but now it's clear: Manchester is blue 🔵

GOAL.COM
The twelve biggest moments that turned Manchester from United red to City blue",312.0,26,4165,3640,403,96,3,1,7,2023-10-29,Sunday,19
"Picking a Manchester United v Manchester City five-a-side team before the Manchester derby 🔴🔵

#football #premierleague #mufc #mcfc #soccer",104.0,12,1421,1103,88,219,1,1,1,2023-10-29,Sunday,19
Pick one from each row 👇,866.0,15,2568,2230,318,5,2,0,0,2023-10-29,Sunday,19
They're just getting started 🤍,213.0,51,20283,16117,3792,133,14,2,5,2023-10-29,Sunday,16
Jude Bellingham already has more league goals than Zinedine Zidane ever scored in a season for Real Madrid 🤯,475.0,96,29688,23804,5409,123,101,0,6,2023-10-29,Sunday,14
"Ryan Reynolds loved what he saw from Wrexham 🏴󠁧󠁢󠁷󠁬󠁳󠁿

GOAL.COM
Ryan Reynolds gives thrilled reaction to Wrexham's latest win and welcomes back star player",8.0,2,1051,1016,30,1,1,1,0,2023-10-29,Sunday,11
Joshua Kimmich got the first straight red card of his entire professional career 😱,168.0,99,27706,21983,414,289,297,4605,22,2023-10-29,Sunday,10
"It's been a nightmare start for Wayne Rooney 🤬

GOAL.COM
Wayne Rooney fumes after setting losing record since joining Tom Brady's Birmingham",103.0,6,1793,1482,12,279,9,8,0,2023-10-29,Sunday,6
It's crazy that Borussia Dortmund had Jude Bellingham and Erling Haaland in the same team 🤯,1330.0,459,81692,66070,14351,361,228,43,3,2023-10-29,Sunday,4
"Jude Bellingham has already surpassed Zinedine Zidane in this big stat 🤯

GOAL.COM
Jude Bellingham beats Zinedine Zidane record at Real Madrid with Clasico double against Barcelona",77.0,15,5738,5139,550,10,5,1,0,2023-10-29,Sunday,3
Yaya Toure and Declan Rice have so much respect for the legends of the Premier League 🙌,43.0,101,7276,7016,237,2,3,0,0,2023-09-29,Friday,22
Lionel Messi's fans turned out in force in Beijing 🇨🇳,514.0,227,69232,52370,15477,260,64,4,2,2023-09-29,Friday,21
Manchester City fans are in love with Rodri 🤣,99.0,87,9166,8055,988,41,2,0,1,2023-09-29,Friday,20
Real Madrid wonderkid Endrick scores powerful finish 🎯,80.0,46,6089,4896,1117,12,11,0,2,2023-09-29,Friday,20
"Erling Haaland could become unstoppable thanks to this advice 😅

GOAL.COM
Erling Haaland told how he can score '100 goals per week' and win the quadruple with Man City",101.0,8,3921,3774,100,32,2,2,2,2023-09-29,Friday,19
Chelsea's Cesare Casadei took home the Golden Ball and Golden Boot at the Under-20 World Cup 🥶,565.0,362,52775,44696,7648,27,76,7,0,2023-09-29,Friday,19
Football tic tac toe with a tense finale 😰,57.0,13,13006,12732,190,70,1,2,0,2023-09-29,Friday,18
Man City bring Champions League trophy back home 😎,294.0,455,18981,15587,3148,50,21,1,8,2023-09-29,Friday,17
"The 2022-23 season was a movie 🎬

GOAL.COM
Erling Haaland, Lionel Messi and the winners & losers of the 2022-23 European season",36.0,8,3695,3415,260,5,4,0,1,2023-09-29,Friday,17
This duo ❤️,325.0,281,78465,63524,14122,121,33,4,26,2023-09-29,Friday,16
"Alphonso Davies was rejected by Barcelona for this reason 😔

GOAL.COM
Alphonso Davies reveals why Barcelona refused to sign him",97.0,14,5492,5275,100,24,10,64,6,2023-09-29,Friday,15
"Which club will sign Wilfried Zaha? 🤔 🇫🇷 🇸🇦

GOAL.COM
Ligue 1 champions contact Crystal Palace star over potential free transfer amid Saudi interest",38.0,4,2353,2226,114,5,3,0,0,2023-09-29,Friday,13
"Jude Bellingham won't play for England this summer 😳

GOAL.COM
Revealed: Why Jude Bellingham will not play in England's games against Malta & North Macedonia",24.0,5,3661,3570,67,7,6,3,1,2023-09-29,Friday,11
"Pep Guardiola's idol congratulated him on Manchester City's Champions League success 🔥

GOAL.COM
Man City manager's 'idol' congratulates him on Champions League victory",46.0,21,5341,4842,440,26,6,0,3,2023-09-29,Friday,9
"This is how you can unlock Paul Mullin's FIFA 23 Team of the season card 🤩

GOAL.COM
Explained: How to unlock Wrexham star Paul Mullin's FIFA 23 ROW Objectives Team of the Season card | Goal.com UK",10.0,3,2349,2218,123,4,1,0,0,2023-09-29,Friday,7
"He was sacked by Aston Villa back in October 😳

GOAL.COM
Liverpool legend considering Al-Ettifaq offer",47.0,9,4065,3928,77,44,6,3,0,2023-09-29,Friday,4
"Marcus Rashford's influence is unrivalled 🧠 👈

GOAL.COM
WATCH: Usain Bolt copies Marcus Rashford! Sprint star mimics Man Utd star's celebration after opening scoring at Soccer Aid",33.0,2,3694,3453,218,12,1,0,0,2023-09-29,Friday,2
"The Saudi Pro League is moving mad 🤯

GOAL.COM
Saudi club want Roma boss as their new manager after missing out on Lionel Messi",107.0,21,5202,4576,51,543,27,0,0,2023-09-29,Friday,1
It meant so much to Ilkay Gundogan 💙,198.0,182,47950,37710,9726,29,18,2,5,2023-09-29,Friday,0
Next season’s Champions League will be the first in 20 years not to feature Lionel Messi or Cristiano Ronaldo 🤯,828.0,454,24274,17646,441,108,110,5860,9,2023-09-29,Friday,0
Pep Guardiola's warning to Real Madrid 🤣,641.0,292,9770,6280,924,2490,16,3,9,2023-09-28,Thursday,22
"Al-Hilal didn't get Lionel Messi... so they've moved onto Neymar 👀

GOAL.COM
Al-Hilal sound out Neymar over possible move after missing out on Lionel Messi",126.0,22,7227,6237,143,788,29,2,10,2023-09-28,Thursday,22
Kylian Mbappe and Zlatan Ibrahimovic watching the tennis together at Roland-Garros 🇫🇷,247.0,180,40737,34034,6332,93,38,2,2,2023-09-28,Thursday,21
Ranking Champions League finals 🧐,42.0,14,6005,5858,125,12,2,0,1,2023-09-28,Thursday,20
"Kylian Mbappe to Real Madrid is back on 🤑

GOAL.COM
Kylian Mbappe to Real Madrid back ON as Florentino Perez drops transfer bombshell",166.0,35,5429,4790,136,473,12,0,6,2023-09-28,Thursday,19
Pep Guardiola had to work for it 🤣,701.0,254,24526,18647,2566,3138,26,2,8,2023-09-28,Thursday,19
"Why Lionel Messi didn't go back to Barcelona 🧐

GOAL.COM
Carlos Tevez reveals why Lionel Messi chose not to return to Barcelona",111.0,11,3708,3506,102,48,4,32,3,2023-09-28,Thursday,18
Kevin De Bruyne said winning the Champions League felt 'empty' 😳,172.0,87,10693,8911,1633,30,15,8,3,2023-09-28,Thursday,17
Erling Haaland's Instagram story this morning 👌,1812.0,614,58165,40360,5006,12209,231,26,45,2023-09-28,Thursday,17
"Pep Guardiola created another managerial masterpiece 🎨

GOAL.COM
From brutal sales to revolutionary tactics: How Pep Guardiola masterminded another treble",107.0,24,4471,4030,387,17,3,1,3,2023-09-28,Thursday,16
Julian Alvarez can retire now 😅,3508.0,2349,165887,109508,34147,19826,329,32,21,2023-09-28,Thursday,16
Ederson's saves will go down in Champions League history 🙌,735.0,317,50801,38212,11788,91,30,3,11,2023-09-28,Thursday,15
Pep Guardiola's face 😆,388.0,146,22326,17388,4596,76,13,3,15,2023-09-28,Thursday,13
"Sergio Aguero is standing up for his best friend 💪

GOAL.COM
Sergio Aguero passionately defends Lionel Messi's record at PSG after criticism",251.0,13,5205,4414,463,280,5,1,0,2023-09-28,Thursday,12
What a player John Stones has become 👏,578.0,205,27524,21307,5882,44,21,0,8,2023-09-28,Thursday,11
"At least he's honest 🤣

GOAL.COM
'I was playing sh*t!' - Rodri's hilarious interview after winning Man City the Champions League",178.0,25,7776,6865,183,695,5,2,2,2023-09-28,Thursday,10
ICONIC.,142.0,24,6460,5213,1079,83,6,1,7,2023-09-28,Thursday,9
"Manchester City have joined the most elite club in football 🏆🏆🏆

GOAL.COM
Every football team to win the European treble... now including Manchester City!",151.0,35,8813,7593,1099,41,7,3,4,2023-09-28,Thursday,8
It's been a long time 😘,339.0,218,16078,12460,3370,38,7,1,8,2023-09-28,Thursday,7
"When Man City needed a hero, Rodri stepped UP! 💥

GOAL.COM
Man City player ratings: That's why you don't drop Rodri for a Champions League final!",117.0,10,5570,4910,603,8,4,1,4,2023-09-28,Thursday,5
John Stones: What a player 👏,563.0,285,37083,28775,7868,43,18,1,11,2023-09-28,Thursday,5
Erling Haaland is ready to become a rapper once he retires from football 😂,38.0,57,3860,3262,317,252,2,0,3,2023-09-28,Thursday,5
"Inter tried so hard but couldn't make it happen 😔

GOAL.COM
Inter player ratings: Anonymous Edin Dzeko and selfish Lautaro Martinez come up short",431.0,25,7523,6793,81,506,12,107,5,2023-09-28,Thursday,4
He isn't a robot 🥲,1317.0,433,64619,46874,16024,731,48,93,23,2023-09-28,Thursday,4
Football 🥲,311.0,254,26188,19078,6621,43,15,52,22,2023-09-28,Thursday,4
Pep Guardiola and Man City finally got there 💙,291.0,972,92734,84577,6233,1313,57,8,15,2023-09-28,Thursday,4
MANCHESTER CITY ARE CHAMPIONS OF EUROPE 🏆,1368.0,1169,64995,49535,14430,113,55,46,91,2023-09-28,Thursday,3
EDERSON SAID NO ❌,826.0,716,42897,31823,10228,112,86,49,28,2023-09-28,Thursday,3
It could be the biggest moment in Manchester City's history 💙,512.0,465,41575,32057,8927,55,48,27,31,2023-09-28,Thursday,3
"The singer wore Vini's name on her back in the pre-match show before the Champions League final 🇧🇷

GOAL.COM
Vinicius Junior sends message to Brazilian singer Anitta after Champions League final tribute",38.0,24,7683,6781,810,42,3,2,3,2023-09-28,Thursday,3
An arm around the shoulder for Kevin De Bruyne 💙,387.0,169,42630,32677,7599,155,22,1657,5,2023-09-28,Thursday,2
Kevin De Bruyne deserved so much better 💔,1154.0,691,79251,59118,3195,1243,105,14806,33,2023-09-28,Thursday,2
"Follow every minute of the Champions League final 👇

GOAL.COM
Champions League final LIVE: Don't miss a minute of Manchester City v Inter",33.0,6,2459,2275,169,1,1,0,0,2023-09-28,Thursday,1
Now THAT'S a midfield 😮‍💨,1154.0,1127,70884,58932,11259,91,161,4,0,2023-09-28,Thursday,1
"Manchester United are losing hope in signing Harry Kane... but they're still confident of getting another big deal over the line 🤝

GOAL.COM
Man Utd losing hope in Harry Kane deal - but they're confident of sealing another big move",89.0,4,3487,3232,45,191,5,3,4,2023-09-28,Thursday,0
Edin Dzeko started in Man City's first ever Champions League game 🤯,223.0,137,33828,29903,3618,60,80,18,2,2023-09-27,Wednesday,23
Pep Guardiola reveals the key to his success 🤣,221.0,161,6323,5037,1061,169,3,1,3,2023-09-27,Wednesday,23
Fans queue up to see Lionel Messi in China 🇨🇳,111.0,132,6472,4333,1805,61,12,1,2,2023-09-27,Wednesday,22
Pep Guardiola's last Champions League-winning XI 🏆,233.0,86,13215,10140,2856,34,10,5,3,2023-09-27,Wednesday,22
"Lunchtime before the final will see players take in two meals 🍽

GOAL.COM
What will Manchester City be eating before the Champions League final?",55.0,10,2981,2863,82,19,3,0,3,2023-09-27,Wednesday,21
How many Manchester City and Inter players could you name under pressure? 🏆,24.0,7,2378,2228,124,13,5,0,0,2023-09-27,Wednesday,21
Praying for another Champions League final golazo ✨,259.0,84,10000,8031,1845,22,6,3,0,2023-09-27,Wednesday,20
"Including benching his star midfielder against Chelsea 😳

GOAL.COM
Pep Guardiola's worst Champions League 'overthinks' - ranked",146.0,12,4984,4818,107,41,5,5,2,2023-09-27,Wednesday,19
Erling Haaland wrestles Romelu Lukaku for Champions League 🤣,204.0,135,4261,2890,62,1287,12,3,4,2023-09-27,Wednesday,19
Don't write Inter off 😤,310.0,93,18440,15638,2548,124,10,1,0,2023-09-27,Wednesday,18
"Why Romelu Lukaku is the joker in the pack 🃏

GOAL.COM
Six reasons why Inter can do the impossible and beat Man City in the Champions League final",44.0,10,2818,2719,67,25,2,0,1,2023-09-27,Wednesday,18
Marco Materazzi picks between his old Inter team-mates and their team for the Champions League final 🖤💙,234.0,100,12326,12002,264,32,4,2,5,2023-09-27,Wednesday,17
Inter know all about winning a treble 🏆 🏆 🏆,213.0,48,10401,8989,1281,41,17,1,1,2023-09-27,Wednesday,17
"Erling Haaland is ready to fill the void left by Cristiano Ronaldo & Lionel Messi 🌟

GOAL.COM
The Champions League is Erling Haaland's stage and he's set to rule the competition for years to come",72.0,9,2882,2600,226,42,0,0,0,2023-09-27,Wednesday,16
"Ruben Dias talks through his gym routine 💪

🎥 Manchester City",92.0,159,10457,9034,1336,6,7,1,3,2023-09-27,Wednesday,16
"Pep Guardiola reveals his biggest coaching secret 😏

GOAL.COM
Pep Guardiola says Erling Haaland doubters are 'lonely' and explains secrets to his success as a coach",70.0,15,3303,3046,233,5,4,0,1,2023-09-27,Wednesday,7
"Lionel Messi's new place in Miami is unreal 😍

GOAL.COM
Inside Lionel Messi's new $9 million Miami apartment located seconds away from the beach",266.0,116,10000,8895,948,60,42,1,1,2023-09-27,Wednesday,5
"Lautaro Martinez has got options 😈

GOAL.COM
Lautaro Martinez is a wanted man! Real Madrid & Chelsea set for transfer tussle over Inter star",119.0,16,6211,5776,380,17,13,1,4,2023-09-27,Wednesday,5
Predict the winner 👇,2222.0,122,12015,10330,1583,15,8,2,0,2023-09-27,Wednesday,4
Pep's got another chance 😈,1041.0,320,41797,33955,7085,291,38,27,13,2023-09-27,Wednesday,3
"The players that could leave PSG this summer 😬

GOAL.COM
Keep, loan or sell: The players PSG should allow to leave in the 2023 summer transfer window",41.0,11,6216,6070,114,16,4,1,0,2023-09-27,Wednesday,2
Erling Haaland wrestles Romelu Lukaku in epic showdown 🤣,262.0,107,4726,3708,108,873,21,3,3,2023-09-26,Tuesday,22
Throwback to when Inter last won the Champions League 🔙🏆,290.0,93,20976,18103,2688,36,14,5,3,2023-09-27,Wednesday,1
Champions League final on FIFA 23 ends in CRAZY scoreline 🤪,346.0,43,3641,3084,231,289,14,4,5,2023-09-26,Tuesday,22
Erling Haaland has been magic in the Champions League this season 💫,464.0,112,25551,21154,4074,77,39,1,10,2023-09-26,Tuesday,23
Xavi reacts to missing out on Lionel Messi signing 😔,226.0,92,5049,4183,391,342,6,51,44,2023-09-26,Tuesday,22
"We picked our Champions League Team of the Season 😏

GOAL.COM
Erling Haaland, Vinicius Jr and GOAL's 2022-23 Champions League Team of the Season",45.0,10,6137,5781,322,6,3,0,1,2023-09-26,Tuesday,22
There's some controversy in this game of Champions League trivia tennis 👀,20.0,6,1452,1385,62,4,0,0,0,2023-09-26,Tuesday,21
"Real Madrid are ready to get active in the transfer market 🤩

GOAL.COM
Harry Kane, Kai Havertz and the 10 players Real Madrid are most likely to sign in the 2023 summer transfer window",73.0,25,9054,8555,454,14,10,0,2,2023-09-26,Tuesday,21
Chunkz wiped the floor with Niko in Trvia Tennis 😅,11.0,1,1515,1464,39,9,0,0,0,2023-09-26,Tuesday,21
Trent Alexander-Arnold was blown away by Lionel Messi 🐐,107.0,198,16035,12648,3154,49,12,1,1,2023-09-26,Tuesday,20
"Why Romelu Lukaku needs to start for Inter in the Champions League final 😤

GOAL.COM
Unleash Romelu Lukaku! Inter must start Chelsea loanee in the Champions League final",376.0,43,10000,9694,229,47,2,3,1,2023-09-26,Tuesday,19
"Pep Guardiola has managed some of the best players in the world 🤩

We assembled a Barcelona vs Manchester City combined XI 👇

GOAL.COM
Pep Guardiola's two greatest masterpieces: Barcelona 2011 vs Man City 2023 Combined XI",208.0,32,8509,7676,756,19,9,0,2,2023-09-26,Tuesday,18
Karim Benzema given crazy welcome by Al-Ittihad fans 🇸🇦,5879.0,13789,426884,323346,94608,1217,1782,358,67,2023-09-26,Tuesday,17
"Catarina Macario helped Lyon win the Women's Champions League last year 👀

GOAL.COM
USWNT star Catarina Macario to join Chelsea on a three-year deal upon departure from European giants Lyon",69.0,9,4967,4689,261,3,3,1,0,2023-09-26,Tuesday,17
Play Video,53.0,49,2463,1955,185,309,1,2,0,2023-09-26,Tuesday,17
"PSG have suffered another blow 😕

GOAL.COM
PSG latest: Why Thierry Henry won't be joining Julian Nagelsmann as PSG assistant",110.0,14,6404,6225,99,54,15,5,0,2023-09-26,Tuesday,5
"How he was mesmerised by Lionel Messi 💫
Why Old Trafford is the best stadium he’s played at 👀
On THAT game v Barcelona 💥

Trent Alexander-Arnold tells all on Simply The Best 👇

YOUTUBE.COM
TRENT ALEXANDER-ARNOLD rates MESSI, SALAH, VAN DIJK & THIAGO | Simply The Best",10.0,4,1555,1497,46,5,2,0,0,2023-09-26,Tuesday,3
"Cristiano Ronaldo didn't make it into the Saudi Pro League Team of the Season 👀

GOAL.COM
Cristiano Ronaldo doesn’t make Saudi Team of the Season as another ex-Manchester United forward makes cut",1778.0,258,12717,8946,140,3464,61,68,19,2023-09-26,Tuesday,2
"Only true Champions League fans can get 15/15 on this quiz 🧠

GOAL.COM
QUIZ: How many Champions League stars can you name from the 2000's?",113.0,21,6827,6690,126,3,4,0,0,2023-09-26,Tuesday,0
"Saudi Arabia know how to welcome a player 🤯

GOAL.COM
WATCH: Karim Benzema gets deafening reception at Al-Ittihad unveil Ballon d'Or winner",38.0,29,9342,8569,694,28,10,2,1,2023-09-25,Monday,23
Make that six Ballons d'Or in the Saudi Pro League 😎,1075.0,301,112711,92158,17888,1651,75,27,14,2023-09-25,Monday,21
Time flies 🥺,114.0,98,26936,22207,4297,66,17,155,1,2023-09-25,Monday,21
Liverpool 🤝 South America,221.0,143,10000,8027,1875,18,7,0,1,2023-09-25,Monday,20
"Rank the starboys 1-3: Jude Bellingham, Pedri, Jamal Musiala ⭐️",485.0,54,10810,10318,412,38,0,1,3,2023-09-25,Monday,19
"The GOAT debate has been settled... by science 👀

GOAL.COM
Explained: Why he GOAT debate has been settled as science proves who is the greatest of all-time",1656.0,253,10000,8759,994,177,7,3,1,2023-09-25,Monday,19
Cristiano Ronaldo has changed the Saudi Pro League forever 👏,500.0,261,27469,21990,4755,426,16,2,7,2023-09-25,Monday,18
Lionel Messi explains why he's not returning to Barcelona 🐐,1100.0,2381,45153,32288,7698,428,51,3897,33,2023-09-25,Monday,17
"Cristiano Ronaldo swerved a question on Lionel Messi 😬

GOAL.COM
WATCH: Cristiano Ronaldo swerves Lionel Messi transfer question",266.0,31,9791,9018,636,96,5,0,2,2023-09-25,Monday,17
Karim Benzema explains why he picked Saudi Arabia 🇸🇦,4955.0,1539,90857,66430,19772,3014,107,31,31,2023-09-25,Monday,16
"Naming the unluckiest footballer in 3, 2, 1 😣",19.0,7,1619,1515,90,6,1,5,0,2023-09-25,Monday,16
"Who will leave Manchester City after a potentially historic season? 🤔

GOAL.COM
KEEP, LOAN, SELL: The players Man City should allow to leave in the summer",154.0,13,7255,7064,159,11,4,6,0,2023-09-25,Monday,15
The streets won't forget 🫡,215.0,46,10000,8375,1562,4,2,5,0,2023-09-25,Monday,15
He fought his way to a W on the 54321 football quiz 👏,27.0,4,2223,2112,86,19,2,0,0,2023-09-25,Monday,21
"Cristiano Ronaldo has confidence in the Saudi Pro League 😏

GOAL.COM
Cristiano Ronaldo '1000% sure' more world-class players will follow him to Saudi Arabia",527.0,30,10000,8415,708,825,8,0,1,2023-09-25,Monday,12
Endrick scoring in the Copa Libertadores at 16 🤯,403.0,208,47887,39340,8022,60,67,2,1,2023-09-25,Monday,12
"Including cow hearts and other secrets 😬

GOAL.COM
The diet and lifestyle secrets fuelling Man City goal machine Erling Haaland",57.0,16,5118,4941,150,12,3,0,0,2023-09-25,Monday,11
Karim Benzema arrives in Saudi Arabia 🇸🇦,315.0,564,26222,21582,4180,116,28,53,4,2023-09-25,Monday,11
Liverpool's new No.10 ❤️,1334.0,1352,75360,54867,19005,302,193,18,23,2023-09-25,Monday,10
"Naming the unluckiest footballer in 3, 2, 1 😣",23.0,7,2135,2014,103,8,2,5,0,2023-09-25,Monday,9
"We ranked the best goals from the Champions League this season 😏

GOAL.COM
WATCH: Lionel Messi, Trent Alexander-Arnold and the 21 best goals of the 2022-23 Champions League season - ranked",43.0,3,3347,3116,218,1,1,1,1,2023-09-25,Monday,9
Generational pull 🤝,209.0,429,81839,64447,16348,113,41,35,11,2023-09-25,Monday,8
"Lionel Messi had to put himself first ❤️

GOAL.COM
'I was so unhappy' – Lionel Messi opens up on struggles to settle at PSG",321.0,52,10000,8810,884,191,8,40,2,2023-09-25,Monday,7
"Fiorentina captain Cristiano Biraghi was left with blood streaming from his head after being struck by an object thrown by West Ham fans.

GOAL.COM
WATCH: Fiorentina captain Cristiano Biraghi left bloodied by Elf Bar vape thrown by West Ham fans | Goal.com UK",305.0,68,10000,8283,72,27,64,1400,120,2023-09-25,Monday,5
"Lionel Messi reveals all 👀

GOAL.COM
Lionel Messi's bombshell interview: Argentine superstar on snubbing Barcelona, why he's leaving PSG, Inter Miami decision & more",169.0,44,7220,6455,618,82,6,22,0,2023-09-25,Monday,3
It was never about the money for Lionel Messi 👏,4212.0,1104,53033,36295,5730,10284,61,278,22,2023-09-25,Monday,1
"Barcelona have taken a swipe at Lionel Messi 😬

GOAL.COM
Barcelona aim dig at Lionel Messi and MLS in back-handed well-wishing message",510.0,50,7706,6627,90,878,15,39,41,2023-09-24,Sunday,23
This is only the beginning for Declan Rice 👏,799.0,334,55640,47255,7913,69,48,2,10,2023-09-24,Sunday,21
"Lionel Messi had the opportunity to go home 👀

GOAL.COM
EXPLAINED: Why Lionel Messi snubbed much-anticipated Barcelona return",194.0,23,7292,6601,485,131,8,35,6,2023-09-24,Sunday,20
Welcome to Miami 😎,1230.0,2172,66262,47843,11823,5135,135,629,56,2023-09-24,Sunday,19
"Look away, Barcelona fans 😩",2054.0,1504,54797,37529,4080,2296,122,10333,41,2023-09-24,Sunday,19
"Lionel Messi's about to take MLS to a whole new level 🤩

GOAL.COM
Lionel Messi to MLS is a game-changer: Inter Miami transfer can change American soccer forever",626.0,83,10000,8262,674,927,18,65,10,2023-09-24,Sunday,18
"'Ten more years, ten more years Declan Rice' 🎶 ⚒️",56.0,43,3863,3462,346,26,9,1,0,2023-09-24,Sunday,17
Miami is the place to be 👀,518.0,83,10000,8007,1451,365,9,74,7,2023-09-24,Sunday,17
Which way to Santiago Bernabeu? 😉,132.0,33,9523,7957,1438,29,13,2,4,2023-09-24,Sunday,15
"Real Madrid will be saying 'Hey Jude' very soon... 🤝

GOAL.COM
Real Madrid seal Jude Bellingham transfer as Borussia Dortmund confirm €103m deal with medical in 'coming days'",104.0,40,10000,9132,809,11,10,3,3,2023-09-24,Sunday,14
Coming soon to Miami Beach ⏳,2452.0,1440,105889,73609,11881,4372,358,14641,214,2023-09-24,Sunday,14
Brighton will always remember Alexis Mac Allister 💙,431.0,618,110452,85573,23333,85,61,46,9,2023-09-24,Sunday,13
"Cristiano Ronaldo's attitude to training is crazy 🤯

GOAL.COM
Cristiano Ronaldo's team-mate reveals why Portuguese is 'angry' when training with Al-Nassr",224.0,37,10000,9046,770,116,6,2,2,2023-09-24,Sunday,13
£35m is an absolute steal 😎,967.0,227,10000,8006,1842,49,13,1,1,2023-09-24,Sunday,12
"Naming Zlatan Ibrahimovic's best moment in 3, 2, 1 😣",20.0,16,2431,2231,174,17,0,0,1,2023-09-24,Sunday,11
"This is why Declan Rice is a £100m player 👇

GOAL.COM
With Bayern Munich and Arsenal circling, what makes Declan Rice a £100m+ player?",269.0,17,5245,4769,88,365,10,0,2,2023-09-24,Sunday,11
Who scores more next season? 😤,422.0,31,9998,8353,1453,99,7,4,0,2023-09-24,Sunday,10
